row_index,column,original,normalized,auto_fixed
1241,input_size,Adam,,False
1242,input_size,Adam,,False
1243,input_size,Adam,,False
1244,input_size,Adam,,False
1245,input_size,Adam,,False
1246,input_size,Adam,,False
1247,input_size,Adam,,False
1248,input_size,Adam,,False
1249,input_size,Adam,,False
1250,input_size,Adam,,False
1251,input_size,Adam,,False
1252,input_size,Adam,,False
1253,input_size,Adam,,False
1254,input_size,Adam,,False
1255,input_size,Adam,,False
1256,input_size,Adam,,False
1257,input_size,Adam,,False
1258,input_size,Adam,,False
1259,input_size,Adam,,False
1260,input_size,Adam,,False
0,epsilon,"0,00000001",0.00000001,True
1,epsilon,"0,00000001",0.00000001,True
2,epsilon,"0,00000001",0.00000001,True
3,epsilon,"0,00000001",0.00000001,True
4,epsilon,"0,00000001",0.00000001,True
5,epsilon,"0,00000001",0.00000001,True
6,epsilon,"0,00000001",0.00000001,True
7,epsilon,"0,00000001",0.00000001,True
8,epsilon,"0,00000001",0.00000001,True
9,epsilon,"0,00000001",0.00000001,True
10,epsilon,"0,00000001",0.00000001,True
11,epsilon,"0,00000001",0.00000001,True
12,epsilon,"0,00000001",0.00000001,True
13,epsilon,"0,00000001",0.00000001,True
14,epsilon,"0,00000001",0.00000001,True
15,epsilon,"0,00000001",0.00000001,True
16,epsilon,"0,00000001",0.00000001,True
17,epsilon,"0,00000001",0.00000001,True
18,epsilon,"0,00000001",0.00000001,True
19,epsilon,"0,00000001",0.00000001,True
20,epsilon,"0,00000001",0.00000001,True
21,epsilon,"0,00000001",0.00000001,True
22,epsilon,"0,00000001",0.00000001,True
23,epsilon,"0,00000001",0.00000001,True
24,epsilon,"0,00000001",0.00000001,True
25,epsilon,"0,00000001",0.00000001,True
26,epsilon,"0,00000001",0.00000001,True
27,epsilon,"0,00000001",0.00000001,True
28,epsilon,"0,00000001",0.00000001,True
29,epsilon,"0,00000001",0.00000001,True
30,epsilon,"0,00000001",0.00000001,True
31,epsilon,"0,00000001",0.00000001,True
32,epsilon,"0,00000001",0.00000001,True
33,epsilon,"0,00000001",0.00000001,True
34,epsilon,"0,00000001",0.00000001,True
35,epsilon,"0,00000001",0.00000001,True
36,epsilon,"0,00000001",0.00000001,True
37,epsilon,"0,00000001",0.00000001,True
38,epsilon,"0,00000001",0.00000001,True
39,epsilon,"0,00000001",0.00000001,True
40,epsilon,"0,00000001",0.00000001,True
41,epsilon,"0,00000001",0.00000001,True
42,epsilon,"0,00000001",0.00000001,True
43,epsilon,"0,00000001",0.00000001,True
44,epsilon,"0,00000001",0.00000001,True
45,epsilon,"0,00000001",0.00000001,True
46,epsilon,"0,00000001",0.00000001,True
47,epsilon,"0,00000001",0.00000001,True
48,epsilon,"0,00000001",0.00000001,True
49,epsilon,"0,00000001",0.00000001,True
50,epsilon,"0,00000001",0.00000001,True
51,epsilon,"0,00000001",0.00000001,True
52,epsilon,"0,00000001",0.00000001,True
53,epsilon,"0,00000001",0.00000001,True
54,epsilon,"0,00000001",0.00000001,True
